NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
,1154,66,4.8,0,,,0
,1143,66,4.84,0,,,0
,1143,66,4.87,0,,,0
3557,1479,156,23.84,1,,,74
,1180,66,4.98,0,,,0
,1180,66,4.85,0,,,0
,1143,66,4.82,0,,,0
11,1258,102,5.71,0,,,2
,1151,68,4.88,0,,,0
,1143,66,4.89,0,,,0
,1143,66,4.78,0,,,0
,1143,66,4.92,0,,,0
10,1169,68,5.19,0,,,1
,1154,66,4.85,0,,,0
3557,1479,156,22.88,1,,,74
,1180,66,4.91,0,,,0
,1143,66,4.85,0,,,0
,1180,66,4.8,0,,,0
11,1310,122,5.42,0,,,2
,1154,66,4.81,0,,,0
10,1169,68,5.14,0,,,1
,1079,50,4.9,0,,,0
,1180,66,4.84,0,,,0
,1143,66,4.83,0,,,0
3557,1479,156,22.92,1,,,74
10,1169,68,5.09,0,,,1
,1180,66,4.75,0,,,0
3557,1479,156,22.59,1,,,74
,1079,50,4.78,0,,,0
,1185,68,4.86,0,,,0
