NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
20,1498,0,31.51,0,,,5
1157,1960,156,30.23,0,,,154
391,2642,440,30.17,0,,,49
195,4058,731,30.19,0,,,35
781,2378,384,30.23,0,,,100
736,2509,398,30.16,0,,,95
20,1498,0,30.44,0,,,5
1162,1775,114,30.2,0,,,154
191,3293,586,30.18,0,,,34
1171,1700,94,30.18,0,,,155
429,2807,518,30.17,0,,,64
7483,1640,68,30.1,0,,,144
171,4094,751,30.22,0,,,29
1107,1623,54,30.2,0,,,147
28,6015,1156,30.21,0,,,7
400,2534,420,30.21,0,,,50
338,2149,318,30.21,0,,,54
326,2941,478,30.18,0,,,54
1071,1708,94,30.17,0,,,143
1185,1699,94,30.2,0,,,157
7918,1703,84,30.17,0,,,149
187,1498,0,30.13,0,,,33
1782,1498,0,30.22,0,,,197
326,2555,428,30.23,0,,,54
1107,1615,54,30.14,0,,,147
203,2823,474,30.09,0,,,37
191,3595,646,30.18,0,,,34
718,2555,406,30.21,0,,,93
7566,1872,160,30.15,0,,,145
1726,1775,106,30.19,0,,,193
