NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL
,3542,1042,9.2,0,,,0,15721,1326,,,5167,17181,,,,,0.119,0.1,0.026,15856,,,0.449,202,0,0.0,140,34,2453
,1288,70,1.68,0,,,0,165,10,,,48,203,,,,,0.018,0.036,0.002,194,,,0.011,202,0,0.0,30,7,161
,1294,70,1.59,0,,,0,169,10,,,50,207,,,,,0.018,0.036,0.002,198,,,0.018,202,0,0.0,30,7,162
72,1284,70,3.72,0,,,3,483,21,81.0,0,146,550,27.0,0.0,69,23.0,0.018,0.036,0.002,194,153,129,1.179,205,0,0.0,30,3,162
,4879,1328,10.82,0,,,0,18034,1551,,,5947,19716,,,,,0.153,0.137,0.033,18166,,,0.522,202,0,0.0,137,28,3461
636,1623,158,13.77,0,,,15,7139,591,681.0,0,2080,7946,45.4,0.0,621,41.4,0.039,0.046,0.004,3817,2649,219,2.153,209,248,0.11,81,21,491
,1288,70,1.63,0,,,0,165,10,,,48,203,,,,,0.018,0.036,0.002,194,,,0.019,202,0,0.0,30,7,161
,4937,1474,11.0,0,,,0,18102,1647,,,5798,19900,,,,,0.147,0.139,0.037,18254,,,0.5,202,0,0.0,154,56,3615
561,1623,158,14.52,0,,,12,6863,553,597.0,0,2020,7631,49.75,0.0,549,45.75,0.039,0.046,0.004,3820,2511,198,4.255,208,224,0.1,82,22,491
72,1284,70,3.59,0,,,3,483,21,81.0,0,146,550,27.0,0.0,69,23.0,0.018,0.036,0.002,194,153,129,1.115,205,0,0.0,30,3,162
,1305,76,1.54,0,,,0,185,10,,,56,226,,,,,0.019,0.037,0.002,217,,,0.009,202,0,0.0,33,7,177
,4879,1328,11.35,0,,,0,18034,1551,,,5947,19716,,,,,0.153,0.137,0.033,18166,,,0.53,202,0,0.0,137,28,3461
,1305,76,1.46,0,,,0,185,10,,,56,226,,,,,0.019,0.037,0.002,217,,,0.029,202,0,0.0,33,7,177
72,1284,70,3.69,0,,,3,483,21,81.0,0,146,550,27.0,0.0,69,23.0,0.018,0.036,0.002,194,153,129,1.098,205,154,0.3,30,3,162
72,1284,70,3.55,0,,,3,483,21,81.0,0,146,550,27.0,0.0,69,23.0,0.018,0.036,0.002,194,153,129,1.138,205,27,0.05,30,3,162
72,1299,76,3.73,0,,,3,553,34,81.0,0,161,632,27.0,0.0,69,23.0,0.018,0.037,0.002,212,171,132,1.096,205,37,0.07,30,3,175
636,1623,158,13.67,0,,,15,7139,591,681.0,0,2080,7946,45.4,0.0,621,41.4,0.039,0.046,0.004,3817,2649,219,2.228,209,248,0.11,81,21,491
,1305,76,1.55,0,,,0,185,10,,,56,226,,,,,0.019,0.037,0.002,217,,,0.01,202,0,0.0,33,7,177
,1291,70,1.54,0,,,0,167,6,,,51,204,,,,,0.019,0.036,0.002,199,,,0.009,202,0,0.0,33,8,165
,4879,1328,10.86,0,,,0,18034,1551,,,5947,19716,,,,,0.153,0.137,0.033,18166,,,0.546,202,0,0.0,137,28,3461
72,1284,70,3.55,0,,,3,483,21,81.0,0,146,550,27.0,0.0,69,23.0,0.018,0.036,0.002,194,153,129,1.047,205,0,0.0,30,3,162
,1291,70,1.55,0,,,0,167,6,,,51,204,,,,,0.019,0.036,0.002,199,,,0.012,202,0,0.0,33,8,165
72,1284,70,3.78,0,,,3,483,21,81.0,0,146,550,27.0,0.0,69,23.0,0.018,0.036,0.002,194,153,129,1.173,205,0,0.0,30,3,162
,1305,76,1.6,0,,,0,185,10,,,56,226,,,,,0.019,0.037,0.002,217,,,0.012,202,0,0.0,33,7,177
,1305,76,1.56,0,,,0,185,10,,,56,226,,,,,0.019,0.037,0.002,217,,,0.009,202,0,0.0,33,7,177
,1305,76,1.69,0,,,0,185,10,,,56,226,,,,,0.019,0.037,0.002,217,,,0.012,202,0,0.0,33,7,177
636,1623,158,13.6,0,,,15,7139,591,681.0,0,2080,7946,45.4,0.0,621,41.4,0.039,0.046,0.004,3817,2649,219,2.074,209,248,0.11,81,21,491
,1294,70,1.59,0,,,0,169,10,,,50,207,,,,,0.018,0.036,0.002,198,,,0.007,202,0,0.0,30,7,162
72,1284,70,3.7,0,,,3,483,21,81.0,0,146,550,27.0,0.0,69,23.0,0.018,0.036,0.002,194,153,129,1.1,205,0,0.0,30,3,162
,1305,76,1.48,0,,,0,185,10,,,56,226,,,,,0.019,0.037,0.002,217,,,0.008,202,0,0.0,33,7,177
