NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL
18,3547,784,12.51,0,,,6,54351,5557,36.0,0,16021,60121,6.0,0.0,12,2.0,0.192,0.226,0.159,12847,120,84,0.691,217,141,0.01,77,30,2453
,3176,604,4.47,0,,,0,4910,500,,,1378,5503,,,,,0.173,0.203,0.122,5004,,,0.171,202,0,0.0,97,46,1879
,4080,1004,9.69,0,,,0,16682,1759,,,4872,18473,,,,,0.213,0.26,0.204,16715,,,0.286,202,0,0.0,45,16,3108
,3292,654,6.21,0,,,0,8423,868,,,2409,9393,,,,,0.174,0.21,0.133,8526,,,0.194,202,0,0.0,107,44,2012
1380,1837,188,22.54,0,,,132,157071,13637,1776.0,0,47115,179700,13.45,0.0,1248,9.45,0.07,0.117,0.038,1906,104415,2964,5.254,232,1841,0.04,79,38,604
,2085,325,2.36,0,,,0,1394,107,,,450,1583,,,,,0.153,0.133,0.066,1477,,,0.102,202,0,0.0,84,38,974
,2085,325,2.4,0,,,0,1394,107,,,450,1583,,,,,0.153,0.133,0.066,1477,,,0.046,202,0,0.0,84,38,974
3378,1674,126,23.32,0,,,136,112593,9231,3828.0,0,35474,125118,28.15,0.0,3243,24.02,0.066,0.107,0.026,1364,127923,4419,7.346,232,2737,0.1,22,10,499
1428,1838,188,23.44,0,,,136,163059,14204,1852.0,0,48899,186474,13.62,0.0,1293,9.58,0.07,0.117,0.038,2065,111201,3024,5.705,232,1913,0.04,79,38,607
3252,1263,24,22.78,0,,,132,104556,8554,3648.0,0,33186,116204,27.64,0.0,3120,23.64,0.015,0.081,0.005,57,101082,4126,7.146,242,2659,0.13,21,10,57
1742,1814,190,22.82,0,,,121,99414,9553,2105.0,0,28224,113838,17.4,0.0,1621,13.4,0.066,0.116,0.039,1224,86709,3636,6.585,242,2325,0.1,65,22,605
,3265,620,4.83,0,,,0,5431,541,,,1538,6070,,,,,0.177,0.208,0.126,5530,,,0.14,202,0,0.0,101,45,1933
18,3823,874,10.02,0,,,6,18136,1797,36.0,0,5361,20102,6.0,0.0,12,2.0,0.199,0.244,0.177,17784,120,84,0.445,217,141,0.02,79,36,2762
1681,1812,198,23.22,0,,,138,121121,11550,2124.0,0,35001,139377,15.39,0.0,1544,11.27,0.067,0.116,0.04,1595,93270,3168,5.692,242,2035,0.07,72,29,587
1623,1814,198,22.81,0,,,136,118043,11262,2060.0,0,34105,135889,15.15,0.0,1488,11.02,0.067,0.116,0.04,1597,90654,3150,5.545,242,2027,0.07,72,29,587
,3010,566,4.74,0,,,0,5835,625,,,1685,6500,,,,,0.155,0.192,0.115,5876,,,0.139,202,0,0.0,58,32,1853
3180,1673,126,22.8,0,,,130,106302,8682,3570.0,0,33680,118070,27.46,0.0,3050,23.46,0.066,0.107,0.026,1244,119397,4118,7.383,242,2571,0.09,20,10,498
2541,1809,158,22.81,0,,,163,101716,8635,3030.0,0,31814,117741,18.59,0.0,2378,14.59,0.073,0.115,0.032,893,117707,4557,6.347,242,2815,0.11,61,23,541
,2085,325,2.41,0,,,0,1394,107,,,450,1583,,,,,0.153,0.133,0.066,1477,,,0.071,202,0,0.0,84,38,974
1929,1864,214,23.07,0,,,147,128976,12073,2370.0,0,37345,148874,16.12,0.0,1782,12.12,0.068,0.119,0.043,1757,98289,3069,5.888,232,1959,0.06,73,28,668
,2085,325,2.35,0,,,0,1394,107,,,450,1583,,,,,0.153,0.133,0.066,1477,,,0.085,202,0,0.0,84,38,974
,3010,566,4.84,0,,,0,5835,625,,,1685,6500,,,,,0.155,0.192,0.115,5876,,,0.143,202,0,0.0,58,32,1853
,4080,1004,9.71,0,,,0,16682,1759,,,4872,18473,,,,,0.213,0.26,0.204,16715,,,0.336,202,0,0.0,45,16,3108
2577,1736,142,23.3,0,,,155,94439,7643,3042.0,0,30237,109083,19.63,0.0,2422,15.63,0.061,0.111,0.029,752,111990,4384,6.618,242,2737,0.11,63,23,458
,2085,325,2.34,0,,,0,1394,107,,,450,1583,,,,,0.153,0.133,0.066,1477,,,0.06,202,0,0.0,84,38,974
1300,1837,188,22.53,0,,,127,147255,12715,1681.0,0,44196,168599,13.24,0.0,1173,9.24,0.07,0.117,0.038,2066,94403,2614,5.21,232,1691,0.04,79,38,604
2733,1842,162,23.43,0,,,170,108045,9140,3270.0,0,33911,124885,19.24,0.0,2564,15.17,0.076,0.118,0.033,1088,128030,4719,6.657,242,2901,0.11,61,23,564
18,3823,874,9.75,0,,,6,18136,1797,36.0,0,5361,20102,6.0,0.0,12,2.0,0.199,0.244,0.177,17784,120,84,0.472,217,141,0.02,79,36,2762
3108,1471,64,22.74,0,,,128,102814,8296,3492.0,0,32660,114206,27.28,0.0,2980,23.28,0.045,0.094,0.013,355,114205,3727,7.69,232,2309,0.09,21,10,267
,4023,982,9.0,0,,,0,15236,1603,,,4474,16869,,,,,0.213,0.257,0.199,15267,,,0.269,202,0,0.0,43,16,3034
