NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL
18,3547,784,12.83,0,,,6,54351,5557,36.0,0,16021,60121,6.0,0.0,12,2.0,0.192,0.226,0.159,12847,120,84,0.786,217,141,0.01,77,30,2453
,3176,604,4.54,0,,,0,4910,500,,,1378,5503,,,,,0.173,0.203,0.122,5004,,,0.143,202,0,0.0,97,46,1879
,4080,1004,10.03,0,,,0,16682,1759,,,4872,18473,,,,,0.213,0.26,0.204,16715,,,0.355,202,0,0.0,45,16,3108
,3292,654,5.65,0,,,0,8423,868,,,2409,9393,,,,,0.174,0.21,0.133,8526,,,0.222,202,0,0.0,107,44,2012
46070,2244,334,893.13,0,,,932,8320644,839421,48866.0,0,2409075,9268993,52.43,0.0,45138,48.43,0.098,0.143,0.068,5325,12004194,41880,484.236,232,25423,0.03,214,60,1120
,2085,325,2.38,0,,,0,1394,107,,,450,1583,,,,,0.153,0.133,0.066,1477,,,0.049,202,0,0.0,84,38,974
,2085,325,2.31,0,,,0,1394,107,,,450,1583,,,,,0.153,0.133,0.066,1477,,,0.078,202,0,0.0,84,38,974
70512,1670,126,893.25,0,,,1003,7426615,761173,73631.0,0,2181536,8225394,73.41,0.0,69509,69.3,0.065,0.107,0.026,870,12392373,43683,432.04,299,26473,0.05,47,10,495
47070,3781,864,892.75,0,,,942,8539194,861867,49896.0,0,2471428,9511825,52.97,0.0,46128,48.97,0.194,0.241,0.175,18910,12298443,42792,473.453,232,25957,0.03,214,60,2737
73755,2276,372,893.33,0,,,1000,7285039,747230,76865.0,0,2140048,8068202,76.86,0.0,72755,72.75,0.107,0.145,0.075,6940,12165373,44937,443.027,284,27527,0.05,47,10,1196
15476,4038,982,180.64,0,,,489,1815040,182875,17087.0,0,520702,2024421,34.94,0.0,14987,30.65,0.21,0.258,0.199,15437,2607282,16767,80.723,284,10203,0.05,136,28,2984
,3265,620,4.6,0,,,0,5431,541,,,1538,6070,,,,,0.177,0.208,0.126,5530,,,0.095,202,0,0.0,101,45,1933
18,3823,874,10.18,0,,,6,18136,1797,36.0,0,5361,20102,6.0,0.0,12,2.0,0.199,0.244,0.177,17784,120,84,0.487,217,141,0.02,79,36,2762
7872,3530,748,81.34,0,,,342,664530,64491,8898.0,0,193379,746102,26.02,0.0,7530,22.02,0.189,0.225,0.152,7463,825546,12570,33.155,242,7743,0.07,103,31,2254
7872,3530,748,83.23,0,,,342,664530,64491,8898.0,0,193379,746102,26.02,0.0,7530,22.02,0.189,0.225,0.152,7463,825546,12570,31.718,242,7743,0.07,103,31,2254
,3010,566,4.88,0,,,0,5835,625,,,1685,6500,,,,,0.155,0.192,0.115,5876,,,0.137,202,0,0.0,58,32,1853
70218,3552,768,893.24,0,,,1003,7405401,759096,73499.0,0,2176078,8201055,73.28,0.0,69216,69.08,0.194,0.227,0.156,14295,12372159,43602,433.721,306,26447,0.05,46,10,2534
78358,4142,908,893.3,0,,,1018,6442719,653883,81544.0,0,1888768,7199411,80.1,0.0,77340,75.97,0.228,0.264,0.184,20159,10665004,39687,463.226,263,23387,0.05,259,68,2895
,2085,325,2.44,0,,,0,1394,107,,,450,1583,,,,,0.153,0.133,0.066,1477,,,0.063,202,0,0.0,84,38,974
12006,3954,890,150.65,0,,,426,1388386,139548,13284.0,0,387637,1556033,31.18,0.0,11580,27.18,0.206,0.252,0.18,12584,1694688,14109,63.174,232,8551,0.05,158,46,2765
,2085,325,2.44,0,,,0,1394,107,,,450,1583,,,,,0.153,0.133,0.066,1477,,,0.076,202,0,0.0,84,38,974
,3010,566,4.74,0,,,0,5835,625,,,1685,6500,,,,,0.155,0.192,0.115,5876,,,0.16,202,0,0.0,58,32,1853
,4080,1004,9.78,0,,,0,16682,1759,,,4872,18473,,,,,0.213,0.26,0.204,16715,,,0.35,202,0,0.0,45,16,3108
121250,2007,252,892.87,0,,,1101,7334434,747526,124748.0,0,2127728,8187464,113.3,0.0,120149,109.13,0.082,0.128,0.051,2197,12094999,41509,415.296,284,24875,0.05,198,58,822
,2085,325,2.31,0,,,0,1394,107,,,450,1583,,,,,0.153,0.133,0.066,1477,,,0.037,202,0,0.0,84,38,974
46870,3561,818,893.33,0,,,940,8496197,857470,49690.0,0,2459132,9464058,52.86,0.0,45930,48.86,0.18,0.227,0.166,16099,12240654,42502,478.195,232,25823,0.03,214,60,2566
79874,3449,764,892.94,0,,,1026,6596231,669824,83084.0,0,1932795,7370894,80.98,0.0,78848,76.85,0.177,0.22,0.155,12671,10919425,40889,462.515,263,24027,0.05,262,69,2354
18,3823,874,10.75,0,,,6,18136,1797,36.0,0,5361,20102,6.0,0.0,12,2.0,0.199,0.244,0.177,17784,120,84,0.448,217,141,0.02,79,36,2762
68730,2276,372,892.65,0,,,992,7276516,745678,71816.0,0,2137651,8059295,72.4,0.0,67738,68.28,0.107,0.145,0.075,7216,12135871,43379,443.515,299,26333,0.05,47,10,1196
,4023,982,9.31,0,,,0,15236,1603,,,4474,16869,,,,,0.213,0.257,0.199,15267,,,0.387,202,0,0.0,43,16,3034
