NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL
105,1755,164,23.65,0,,,33,76689,11640,309.0,0,17170,94995,9.36,0.0,72,2.18,0.044,0.134,0.04,582,12765,1881,9.49,127898,2857,0.13,227,131,285
44,2098,258,23.92,0,,,16,447351,26908,663.0,0,174552,474821,41.44,0.0,28,1.75,0.053,0.16,0.062,13728,978,415,2.626,453,948,0.0,86,29,644
12,3262,700,23.59,0,,,12,266261,18386,2054.0,0,99540,285067,171.17,0.0,0,0.0,0.108,0.249,0.169,13167,296,159,2.316,5604,358,0.0,69,25,1754
142,3440,774,23.59,0,,,26,161447,26210,283.0,0,33931,195232,10.88,0.0,116,4.46,0.187,0.262,0.187,6573,12838,1422,2.686,45380,1955,0.05,414,230,1625
102,3525,782,23.51,0,,,30,106150,14932,276.0,0,23409,128431,9.2,0.0,72,2.4,0.207,0.269,0.189,4590,10356,1428,2.86,16969,2375,0.09,303,139,1769
392,3640,766,23.68,0,,,41,165813,20560,720.0,0,43621,195720,17.56,0.0,352,8.8,0.222,0.278,0.185,7073,20399,1465,4.233,17042,2476,0.05,254,152,1862
29,2694,358,23.72,0,,,13,354097,21160,639.0,0,138468,375742,49.15,0.0,16,1.23,0.065,0.205,0.087,18926,540,226,2.594,354,594,0.0,86,29,907
548,3609,756,23.67,0,,,46,166135,20572,946.0,0,43751,196057,20.57,0.0,502,10.91,0.218,0.275,0.183,6227,20501,1471,3.842,17042,2487,0.05,254,152,1828
34,4105,886,23.1,0,,,14,371404,22542,643.0,0,144454,394375,45.93,0.0,20,1.43,0.125,0.313,0.214,28894,629,237,2.351,280,509,0.0,70,22,2284
78,3909,924,23.72,0,,,18,109516,7748,5847.0,0,39117,119084,324.83,0.0,61,3.59,0.17,0.298,0.224,13705,1005,479,1.705,581,741,0.02,217,64,2411
44,4211,936,23.61,0,,,16,440897,26769,659.0,0,171436,468136,41.19,0.0,28,1.75,0.126,0.321,0.226,32768,923,345,2.561,307,670,0.0,70,22,2405
113,3246,640,23.43,0,,,30,381562,24855,388.0,0,145341,407685,12.93,0.0,83,2.77,0.096,0.248,0.155,30243,5087,1107,3.482,6910,2166,0.01,36,20,1720
102,2767,474,23.56,0,,,30,373973,24397,388.0,0,142345,399670,12.93,0.0,72,2.4,0.084,0.211,0.115,22593,5098,1164,3.847,22564,2376,0.01,34,20,1250
103,2653,434,23.66,0,,,31,396197,25656,403.0,0,151125,423193,13.0,0.0,72,2.32,0.061,0.202,0.105,21096,5347,1248,4.155,24409,2604,0.02,36,20,1128
76,1626,94,23.93,0,,,20,100103,16208,199.0,0,21071,120980,9.95,0.0,56,2.8,0.019,0.124,0.023,149,5812,946,2.085,4990,1698,0.06,414,186,149
105,1755,164,23.38,0,,,33,76689,11640,309.0,0,17170,94995,9.36,0.0,72,2.18,0.044,0.134,0.04,582,12765,1881,10.041,132529,2855,0.13,227,131,285
112,3909,924,23.69,0,,,19,109715,7765,6455.0,0,39188,119300,339.74,0.0,94,5.22,0.17,0.298,0.224,13753,1072,496,1.826,581,741,0.02,217,64,2411
2606,2973,582,23.6,0,,,114,87647,9505,5336.0,0,26883,102126,46.81,0.0,2492,21.86,0.186,0.227,0.141,4579,14590,330,3.678,2540,673,0.03,245,183,1259
78,3864,916,24.0,0,,,17,109369,7742,5205.0,0,39061,118927,306.18,0.0,61,3.59,0.166,0.295,0.222,13555,970,460,1.553,581,741,0.02,217,64,2365
