NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL
3833,1930,848,897.26,0,,,196,17516394,1832606,6125.0,0,4690439,21007203,31.25,0.0,3637,18.56,0.681,0.829,0.784,89116,3815091,22411,408.136,10504,15754,0.0,42429,10217,1726
808,1682,880,896.67,0,,,65,28864060,2585908,1246.0,0,9044177,34992549,19.17,0.0,743,11.43,0.582,0.723,0.813,444735,172778,2871,93.115,1209,2872,0.0,127199,38232,1571
,2028,960,900.58,0,,,0,11450679,778341,,,3537761,12237433,,,,,0.703,0.872,0.887,11459093,,,74.133,202,0,0.0,12416,5629,
,1765,830,911.7,0,,,0,11703620,800769,,,3621229,12504496,,,,,0.593,0.758,0.767,11703728,,,26.313,202,0,0.0,142,60,
6,1602,732,917.13,0,,,2,24850316,1702740,20.0,0,7682504,26553149,10.0,0.0,4,2.0,0.527,0.688,0.677,9599213,43,15,54.976,203,40,0.0,134,64,
,2143,1022,898.76,0,,,0,11850267,810703,,,3666145,12664395,,,,,0.725,0.921,0.945,11853692,,,157.23,202,0,0.0,7352,4572,
,2181,1022,902.07,0,,,0,11412965,782076,,,3528026,12195100,,,,,0.769,0.937,0.945,11413023,,,97.958,202,0,0.0,112,70,
6,1602,732,910.2,0,,,2,24900576,1706188,20.0,0,7697974,26606874,10.0,0.0,4,2.0,0.527,0.688,0.677,9649490,43,15,80.716,203,40,0.0,134,64,
8970,1522,754,897.07,0,,,643,14525602,2138118,28725.0,0,3434709,18582252,44.67,0.0,8327,12.95,0.505,0.654,0.697,254818,11055106,37216,429.884,13505,22638,0.01,33390,12888,1369
779,1682,880,896.63,0,,,64,29197341,2596427,1214.0,0,9189354,35359960,18.97,0.0,715,11.17,0.582,0.723,0.813,562338,151482,2751,89.5,1209,2762,0.0,118408,37279,1571
3833,1930,848,896.72,0,,,196,17500594,1830921,6125.0,0,4686138,20987855,31.25,0.0,3637,18.56,0.681,0.829,0.784,71469,3810841,22411,396.66,10504,15746,0.0,42429,10220,1725
6267,1770,798,897.22,0,,,363,16502040,2403466,12986.0,0,3672986,21073300,35.77,0.0,5905,16.31,0.615,0.761,0.738,305534,9166251,38466,453.599,12518,22607,0.01,35635,8647,1560
750,1682,880,896.73,0,,,63,28300962,2522052,1182.0,0,8899423,34265935,18.76,0.0,687,10.9,0.582,0.723,0.813,270331,132755,2814,88.328,1209,2796,0.0,118414,36970,1570
,2143,1014,908.38,0,,,0,11639834,797389,,,3598429,12437329,,,,,0.725,0.921,0.937,11639940,,,48.724,202,0,0.0,152,99,
1042,1704,880,896.64,0,,,55,26044878,2313208,1499.0,0,8201554,31536944,27.25,0.0,987,17.95,0.593,0.732,0.813,897452,244397,2230,120.076,741,2674,0.0,111455,38559,1584
1039,1675,880,896.73,0,,,55,25703560,2284836,1496.0,0,8090469,31129744,27.2,0.0,984,17.89,0.582,0.72,0.813,519761,235071,2342,117.228,741,2866,0.0,111451,37886,1567
3444,618,0,897.41,0,,,172,21944188,1732909,5228.0,0,6452794,23705642,30.4,0.0,3272,19.02,0.022,0.266,0.0,6,4474136,31598,366.211,16160,19747,0.0,208,95,6
,1765,830,909.6,0,,,0,11718928,801833,,,3625939,12520816,,,,,0.593,0.758,0.767,11718982,,,134.805,202,0,0.0,142,60,
6153,1731,794,897.14,0,,,343,16287188,2375698,12064.0,0,3620879,20805772,35.17,0.0,5811,16.99,0.604,0.744,0.734,221268,8985105,38388,448.84,12480,22591,0.01,35397,8440,1528
3318,1370,396,897.1,0,,,168,21200162,1691421,5057.0,0,6212501,22923280,30.1,0.0,3150,18.75,0.495,0.589,0.366,32172,3592039,34323,381.196,17925,21204,0.0,229,70,939
3318,1620,544,896.83,0,,,168,21539391,1716744,5057.0,0,6314179,23287838,30.1,0.0,3150,18.75,0.604,0.696,0.503,371408,3833650,34323,381.284,17925,21208,0.0,229,70,1282
2897,1886,842,896.77,0,,,169,22825323,1635736,5875.0,0,6943726,24473150,34.76,0.0,2728,16.14,0.659,0.81,0.778,113227,3433709,14658,246.152,5394,11722,0.0,457,82,1811
3751,2119,944,897.13,0,,,193,16486765,1741936,6020.0,0,4392216,19792735,31.19,0.0,3558,18.44,0.769,0.911,0.872,486923,3534341,21871,361.5,10485,15245,0.0,40600,9577,1991
10923,1556,768,896.77,0,,,405,12965757,2114594,20232.0,21,2710870,16871320,49.96,0.05,10497,25.92,0.484,0.669,0.71,18950,9209204,38261,572.103,9785,24943,0.02,17696,4970,1372
,2181,1022,902.35,0,,,0,11418657,782475,,,3529766,12201182,,,,,0.769,0.937,0.945,11418707,,,27.497,202,0,0.0,112,70,
6,,,,,,,2,24745554,1695581,20.0,0,7650048,26441234,10.0,0.0,4,2.0,,,,,43,15,58.55,203,40,0.0,134,64,
3865,2102,938,897.09,0,,,197,18206446,1891058,6160.0,0,4893548,21819550,31.27,0.0,3668,18.62,0.747,0.903,0.867,312701,4004185,22480,401.473,10516,15850,0.0,43987,10632,1953
3776,2102,938,897.33,0,,,194,16773353,1768329,6055.0,0,4474121,20132667,31.21,0.0,3582,18.46,0.747,0.903,0.867,302162,3615613,22018,360.588,10485,15371,0.0,41243,9653,1953
3318,1607,530,897.17,0,,,168,21438770,1709231,5057.0,0,6284013,23179701,30.1,0.0,3150,18.75,0.604,0.691,0.49,270784,3762115,34323,381.017,17925,21208,0.0,229,70,1255
6,1602,732,914.85,0,,,2,24914287,1707118,20.0,0,7702240,26621504,10.0,0.0,4,2.0,0.527,0.688,0.677,9663189,43,15,67.926,203,40,0.0,134,64,
