NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
13474,508,160,897.38,0,,,217,4518055,806344,49249.0,313,521196,5415685,226.95,1.44,12951,59.68,0.073,0.183,0.079,192,2818958,119523,297.142,254232,67692,0.14,144,24,192,315.881,86.283
2215,2047,1794,898.66,0,,,111,101749,6970,24321.0,12,11422,114293,219.11,0.11,2145,19.5,0.695,0.739,0.887,16654,55716,15622,62.334,1584,8494,0.31,199,48,2313,62.858,7.54
3318,2046,1812,899.49,0,,,296,315305,29561,45778.0,106,40786,361851,154.66,0.36,3016,10.22,0.732,0.738,0.896,10418,146133,11948,46.09,1337,8057,0.21,432,83,2347,47.514,9.978
9431,2290,1894,897.56,0,,,227,2492121,469569,43191.0,12,250979,2981955,190.27,0.05,9311,41.02,0.732,0.826,0.937,73649,610183,35044,158.579,2243,21175,0.08,422,107,2587,170.142,66.816
11297,2186,1694,897.49,0,,,213,2280241,406890,34595.0,198,263354,2732378,162.42,0.93,10892,51.14,0.854,0.789,0.838,10361,1562311,126445,452.951,85815,88136,0.28,138,20,2462,462.33,63.604
8720,2345,1602,897.45,0,,,459,2706398,466909,45967.0,182,307345,3234925,100.15,0.4,8286,18.05,0.939,0.846,0.792,64330,1502181,59865,185.394,208822,92104,0.32,253,62,2516,196.032,51.655
8720,2345,1602,897.45,0,,,459,2701323,465975,45967.0,182,306732,3228833,100.15,0.4,8286,18.05,0.939,0.846,0.792,59189,1497079,59345,185.179,175292,92001,0.32,253,62,2516,196.476,52.334
2215,1930,1746,897.78,0,,,110,101329,6946,23298.0,12,11355,113811,211.8,0.11,2145,19.5,0.622,0.696,0.864,16215,55365,15580,61.912,1580,8494,0.32,199,48,2203,62.499,7.705
2215,2047,1794,898.35,0,,,111,101749,6970,24321.0,12,11422,114293,219.11,0.11,2145,19.5,0.695,0.739,0.887,16654,55716,15622,61.854,1584,8550,0.32,199,48,2313,62.373,7.887
12068,1630,982,897.49,0,,,223,1716418,277379,31603.0,223,223121,2051342,141.72,1.0,11628,52.14,0.756,0.588,0.486,5173,1266583,146808,446.335,179594,116357,0.42,135,15,1615,453.649,52.283
3318,2046,1812,898.77,0,,,296,315305,29561,45778.0,106,40786,361851,154.66,0.36,3016,10.22,0.732,0.738,0.896,10418,146133,11948,45.845,1337,8057,0.21,432,83,2347,47.173,9.732
6811,1055,552,897.48,0,,,530,3018749,560310,49268.0,179,311662,3613721,92.96,0.34,6366,12.01,0.415,0.381,0.273,1981,999635,33388,121.251,265455,34115,0.11,266,88,864,133.314,49.435
2215,2047,1794,898.28,0,,,111,101749,6970,24321.0,12,11422,114293,219.11,0.11,2145,19.5,0.695,0.739,0.887,16654,55716,15622,62.658,1584,8494,0.31,199,48,2313,63.221,7.582
8720,1970,1262,897.5,0,,,459,2663226,459022,45967.0,182,302335,3183061,100.15,0.4,8286,18.05,0.854,0.711,0.624,21174,1462790,57309,181.723,108090,87189,0.31,253,62,2025,191.637,52.866
2215,1966,1760,897.48,0,,,110,101397,6955,23298.0,12,11367,113895,211.8,0.11,2145,19.5,0.634,0.709,0.87,16282,55413,15601,62.261,1583,8494,0.31,199,48,2231,62.776,7.756
11168,1331,688,897.51,0,,,222,1714200,278076,27992.0,212,222093,2048689,126.09,0.95,10740,48.38,0.634,0.48,0.34,3905,1204933,140981,457.432,48098,143375,0.5,137,13,1201,464.895,52.691
8720,2345,1602,897.52,0,,,459,2705894,466810,45967.0,182,307297,3234314,100.15,0.4,8286,18.05,0.939,0.846,0.792,63829,1501797,59743,184.67,200865,91999,0.32,253,62,2516,194.762,51.705
8720,2345,1602,897.38,0,,,459,2707020,467014,45967.0,182,307437,3235657,100.15,0.4,8286,18.05,0.939,0.846,0.792,64940,1502996,60033,187.412,224029,92075,0.32,253,62,2517,197.694,52.139
3260,2003,1788,903.41,0,,,252,262037,24582,43856.0,92,34034,300539,174.03,0.37,2990,11.91,0.659,0.723,0.884,9922,128757,16640,60.473,1872,10054,0.24,433,84,2287,61.651,9.876
13474,2154,1308,897.44,0,,,217,4534565,808881,49249.0,313,523467,5435456,226.95,1.44,12951,59.68,0.939,0.777,0.647,16722,2840929,120197,298.587,259207,68098,0.14,144,24,2196,315.756,85.331
9431,2537,1980,897.63,0,,,228,2534981,477675,44014.0,12,255423,3033369,193.04,0.05,9311,41.02,0.878,0.916,0.979,116535,628208,36535,163.216,2270,22240,0.08,422,107,2841,173.271,65.333
11168,1331,688,897.45,0,,,222,1714160,278069,27992.0,212,222088,2048642,126.09,0.95,10740,48.38,0.634,0.48,0.34,3868,1204838,140894,455.441,30618,143372,0.5,137,13,1201,462.073,52.337
8435,2447,1954,897.53,0,,,160,6137560,1175653,31646.0,15,620317,7355211,197.79,0.09,8321,52.01,0.805,0.883,0.966,186793,1557999,40727,192.352,2106,25271,0.04,445,140,2761,219.554,117.328
8720,2426,1742,897.51,0,,,459,2708120,467117,45967.0,182,307599,3236910,100.15,0.4,8286,18.05,0.939,0.875,0.862,65930,1504780,60743,186.643,164926,92105,0.31,253,62,2661,197.114,51.797
2215,2047,1794,897.69,0,,,111,101749,6970,24321.0,12,11422,114293,219.11,0.11,2145,19.5,0.695,0.739,0.887,16654,55716,15622,62.498,1584,8494,0.31,199,48,2313,63.049,7.512
6638,2428,1742,897.61,0,,,530,3016779,560145,49268.0,179,311320,3611413,92.96,0.34,6194,11.71,0.939,0.876,0.862,41681,995687,33388,123.197,265455,34081,0.11,266,88,2664,133.731,48.764
11297,2186,1694,897.57,0,,,213,2280248,406890,34595.0,198,263357,2732385,162.42,0.93,10892,51.14,0.854,0.789,0.838,10366,1562361,126484,454.787,269193,88158,0.28,138,20,2462,463.952,62.397
8435,2268,1894,898.1,0,,,160,6026820,1154597,31646.0,15,609208,7222410,197.79,0.09,8321,52.01,0.732,0.818,0.937,75833,1520851,39218,194.986,2085,24489,0.04,445,140,2586,218.852,115.002
2215,2047,1794,898.84,0,,,111,101749,6970,24321.0,12,11422,114293,219.11,0.11,2145,19.5,0.695,0.739,0.887,16654,55716,15622,62.008,1584,8494,0.31,199,48,2313,62.575,7.626
6811,2353,1726,897.58,0,,,531,3038403,563533,49395.0,179,313951,3637326,93.02,0.34,6366,12.01,0.915,0.849,0.854,21743,1018714,33537,120.908,265477,34241,0.11,266,88,2588,133.126,48.953
