NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
147,513,160,27.26,0,,,9,189468,38400,319.0,1,18409,227941,35.44,0.11,138,15.33,0.073,0.185,0.079,193,2107,49,2.239,202,103,0.0,91,22,193,3.436,9.39
130,749,406,27.62,0,,,22,6515,152,588.0,0,676,7019,26.73,0.0,120,5.71,0.22,0.27,0.201,596,422,31,0.593,202,65,0.1,120,39,538,0.773,2.153
100,651,218,27.63,0,,,22,7705,455,534.0,0,722,8454,24.27,0.0,91,4.14,0.22,0.235,0.108,375,397,27,0.53,202,37,0.05,112,34,342,0.699,2.191
52,1194,630,27.34,0,,,16,38971,7311,408.0,0,3543,46416,25.5,0.0,45,3.0,0.427,0.431,0.312,4536,671,20,0.651,202,43,0.01,123,55,1016,1.041,5.367
54,1298,664,27.61,0,,,10,113932,22863,326.0,0,11081,136850,32.6,0.0,46,5.11,0.476,0.468,0.328,13747,3267,68,1.266,205,119,0.01,91,19,1115,2.178,10.292
52,656,368,28.51,0,,,15,36714,6757,369.0,0,3485,43752,24.6,0.0,45,3.21,0.134,0.237,0.182,443,631,18,0.635,202,37,0.01,122,38,437,1.088,5.075
74,513,160,27.19,0,,,16,41215,7612,408.0,0,3935,49148,25.5,0.0,66,4.13,0.073,0.185,0.079,193,778,22,0.768,202,47,0.01,122,38,193,1.217,5.401
130,749,406,27.59,0,,,22,6515,152,588.0,0,676,7019,26.73,0.0,120,5.71,0.22,0.27,0.201,596,422,31,0.643,202,65,0.1,120,39,538,0.782,2.196
130,749,406,27.25,0,,,22,6515,152,588.0,0,676,7019,26.73,0.0,120,5.71,0.22,0.27,0.201,596,422,31,0.691,202,65,0.1,120,39,538,0.83,2.094
123,1284,664,27.87,0,,,12,80763,15916,434.0,0,7876,96808,36.17,0.0,113,10.27,0.476,0.463,0.328,8839,1841,32,0.893,202,67,0.01,91,13,1108,1.474,8.246
100,643,360,27.82,0,,,22,7557,453,534.0,0,676,8283,24.27,0.0,91,4.33,0.134,0.232,0.178,423,346,24,0.511,202,37,0.06,112,34,420,0.668,2.183
52,656,368,28.18,0,,,15,50641,9744,369.0,0,4738,60488,24.6,0.0,45,3.21,0.134,0.237,0.182,440,750,17,0.766,202,37,0.01,121,50,436,1.271,6.425
130,749,406,27.84,0,,,22,6515,152,588.0,0,676,7019,26.73,0.0,120,5.71,0.22,0.27,0.201,596,422,31,0.695,202,65,0.1,120,39,538,0.828,2.062
52,1234,646,27.69,0,,,16,41215,7612,408.0,0,3935,49148,25.5,0.0,45,3.0,0.451,0.445,0.319,4780,778,22,0.771,202,47,0.01,122,38,1056,1.199,5.611
