NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
39,149,24,899.92,0,,,9
39,149,24,899.93,0,,,9
39,149,24,899.85,0,,,9
16,149,24,26.89,1,,,6
16,149,24,27.33,1,,,6
39,149,24,899.99,0,,,9
16,149,24,27.2,1,,,6
16,149,24,28.74,1,,,6
,,,,,,,
9,142,20,6.02,1,,,4
16,149,24,27.3,1,,,6
39,149,24,899.87,0,,,9
39,149,24,899.94,0,,,9
39,149,24,899.96,0,,,9
39,149,24,899.98,0,,,9
9,143,20,5.87,1,,,4
16,149,24,27.2,1,,,6
39,149,24,899.98,0,,,9
39,149,24,899.89,0,,,9
16,149,24,27.11,1,,,6
16,149,24,27.27,1,,,6
9,143,20,6.14,1,,,4
16,149,24,28.6,1,,,6
16,149,24,27.47,1,,,6
16,149,24,27.13,1,,,6
39,149,24,899.91,0,,,9
9,143,20,6.27,1,,,4
39,149,24,899.95,0,,,9
,,,,,,,
16,149,24,27.28,1,,,6
