NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
8,159,14,2.34,1,,,25
24,174,26,3.33,1,,,43
8,165,22,2.39,1,,,25
24,174,26,3.13,1,,,43
8,165,22,2.41,1,,,25
8,165,22,2.38,1,,,25
24,174,26,3.11,1,,,43
8,159,14,2.45,1,,,25
24,174,26,3.04,1,,,43
8,165,22,2.39,1,,,25
8,159,14,2.39,1,,,25
11,165,22,2.45,1,,,30
24,174,26,3.29,1,,,43
8,159,14,2.38,1,,,25
8,159,14,2.39,1,,,25
8,165,22,2.45,1,,,25
24,174,26,3.1,1,,,43
24,174,26,3.19,1,,,43
24,174,26,3.06,1,,,43
8,159,14,2.42,1,,,25
24,174,26,3.21,1,,,43
8,159,14,2.45,1,,,25
8,159,14,2.38,1,,,25
24,174,26,3.66,1,,,43
8,165,22,2.49,1,,,25
24,174,26,3.13,1,,,43
24,174,26,3.15,1,,,43
24,174,26,3.12,1,,,43
8,159,14,2.4,1,,,25
8,165,22,2.49,1,,,25
